Name,Card Type,Rating,Current Index,Current Price,General Position,Position,Nation,Club,League
Petersen,Non-Inform,78,61.54,400.0,Forward,ST,Germany,SC Freiburg,GER 1
Bertrand,Non-Inform,78,60.0,600.0,Defender,LB,England,Southampton,ENG 1
Şahin,Non-Inform,78,305.43,2138.0,Midfielder,CDM,Turkey,Werder Bremen,GER 1
Mirallas,Non-Inform,78,430.36,2367.0,Midfielder,LM,Belgium,Antwerp,BEL 1
Peña,Inform,78,412.37,40000.0,Midfielder,CAM,Peru,FC Emmen,NED 1
Fejsa,Non-Inform,78,188.86,1322.0,Midfielder,CDM,Serbia,SL Benfica,POR 1
Rojo,Non-Inform,78,38.15,763.0,Defender,CB,Argentina,Estudiantes de La Plata,ARG 1
Sturridge,Non-Inform,78,1000.0,7000.0,Forward,ST,England,Trabzonspor,TUR 1
Daniel Podence,Non-Inform,78,90.24,767.0,Midfielder,LM,Portugal,Wolverhampton Wanderers,ENG 1
Masiello,Non-Inform,78,42.64,400.0,Defender,CB,Italy,Genoa,ITA 1
Amadou,Non-Inform,78,127.0,1350.0,Midfielder,CDM,France,CD Leganés,ESP 1
Fejsa,Non-Inform,78,134.8,1011.0,Midfielder,CDM,Serbia,Deportivo Alavés,ESP 1
Selke,Non-Inform,78,90.32,700.0,Forward,ST,Germany,Werder Bremen,GER 1
Soumaoro,Non-Inform,78,76.34,700.0,Defender,CB,France,Genoa,ITA 1
Manu García,Non-Inform,78,72.73,400.0,Midfielder,CM,Spain,Deportivo Alavés,ESP 1
Deeney,Non-Inform,78,100.0,700.0,Forward,ST,England,Watford,ENG 1
Júnior Moraes,Non-Inform,78,80.0,400.0,Forward,ST,Ukraine,Shakhtar Donetsk,UKR 1
Amrabat,Non-Inform,78,94.8,711.0,Midfielder,RM,Morocco,Al Nassr,SAU 1
Jovetić,Non-Inform,78,80.0,400.0,Forward,ST,Montenegro,AS Monaco,FRA 1
Mehmedi,Non-Inform,78,76.19,400.0,Forward,CF,Switzerland,VfL Wolfsburg,GER 1
Bardhi,Non-Inform,78,100.0,700.0,Midfielder,CM,FYR Macedonia,Levante UD,ESP 1
Maksimović,Non-Inform,78,52.62,421.0,Midfielder,CM,Serbia,Getafe CF,ESP 1
Calero,Non-Inform,78,82.35,700.0,Defender,CB,Spain,RCD Espanyol,ESP 1
Ferro,Non-Inform,78,72.73,400.0,Defender,CB,Portugal,SL Benfica,POR 1
Olsen,Non-Inform,78,100.0,10000.0,Goalkeeper,GK,Sweden,Roma,ITA 1
Joelinton,OnesToWatch,78,233.33,28000.0,Forward,ST,Brazil,Newcastle United,ENG 1
Laxalt,Non-Inform,78,616.67,3700.0,Midfielder,LM,Uruguay,Torino,ITA 1
Medel,Non-Inform,78,100.0,700.0,Midfielder,CDM,Chile,Bologna,ITA 1
Defrel,Non-Inform,78,104.75,838.0,Forward,ST,France,Sassuolo,ITA 1
Amiri,Non-Inform,78,55.17,400.0,Midfielder,CAM,Germany,Bayer 04 Leverkusen,GER 1
Skhiri,Non-Inform,78,100.0,700.0,Midfielder,CDM,Tunisia,1. FC Köln,GER 1
Meret,Non-Inform,78,67.83,407.0,Goalkeeper,GK,Italy,Napoli,ITA 1
Camacho,Non-Inform,78,104.71,733.0,Midfielder,CDM,Spain,VfL Wolfsburg,GER 1
Boudebouz,Non-Inform,78,85.0,425.0,Midfielder,CAM,Algeria,AS Saint-Étienne,FRA 1
Alan Carvalho,Non-Inform,78,817.73,6133.0,Forward,ST,Brazil,Tianjin Quanjian,CHN 1
Rafael,Non-Inform,78,42.11,400.0,Defender,RB,Brazil,Olympique Lyonnais,FRA 1
Holebas,Non-Inform,78,447.06,3800.0,Defender,LB,Greece,Watford,ENG 1
Cáceres,Non-Inform,78,100.0,14000.0,Defender,CB,Uruguay,Lazio,ITA 1
Wagner,Non-Inform,78,85.29,725.0,Forward,ST,Germany,Tianjin Teda,CHN 1
Guilherme,Non-Inform,78,76.19,400.0,Goalkeeper,GK,Russia,Lokomotiv Moskva,RUS 1
Hitz,Non-Inform,78,78.57,550.0,Goalkeeper,GK,Switzerland,Borussia Dortmund,GER 1
Mee,Non-Inform,78,69.42,538.0,Defender,CB,England,Burnley,ENG 1
Baumgartlinger,Non-Inform,78,43.3,433.0,Midfielder,CDM,Austria,Bayer 04 Leverkusen,GER 1
Rafael Carioca,Non-Inform,78,66.67,400.0,Midfielder,CDM,Brazil,Tigres U.A.N.L.,MEX 1
Iborra,Non-Inform,78,100.0,700.0,Midfielder,CM,Spain,Villarreal CF,ESP 1
Hübner,Non-Inform,78,47.06,400.0,Defender,CB,Germany,TSG 1899 Hoffenheim,GER 1
Souza,Non-Inform,78,92.63,880.0,Midfielder,CDM,Brazil,Al Ahli,SAU 1
Rudy,Non-Inform,78,246.6,1233.0,Midfielder,CDM,Germany,TSG 1899 Hoffenheim,GER 1
Daniel Carriço,Non-Inform,78,852.63,8100.0,Defender,CB,Portugal,Sevilla FC,ESP 1
Wanyama,Non-Inform,78,357.14,2500.0,Midfielder,CDM,Kenya,Tottenham Hotspur,ENG 1
Rami,Non-Inform,78,61.54,400.0,Defender,CB,France,Fenerbahçe,TUR 1
Elmas,Inform,78,634.15,65000.0,Midfielder,CAM,FYR Macedonia,Napoli,ITA 1
Blum,Inform,78,480.39,53333.0,Midfielder,LM,Germany,VfL Bochum,GER 2
Ansaldi,Non-Inform,78,83.33,750.0,Midfielder,LM,Argentina,Torino,ITA 1
Moses,Non-Inform,78,464.29,3250.0,Midfielder,RM,Nigeria,Fenerbahçe,TUR 1
Caicedo,Non-Inform,78,101.86,713.0,Forward,CF,Ecuador,Lazio,ITA 1
Birsa,Non-Inform,78,55.29,470.0,Midfielder,CAM,Slovenia,Cagliari,ITA 1
Zapata,Non-Inform,78,57.14,400.0,Defender,CB,Colombia,Genoa,ITA 1
Mbokani,Non-Inform,78,84.21,400.0,Forward,ST,DR Congo,Antwerp,BEL 1
Sulejmani,Non-Inform,78,100.0,700.0,Midfielder,LM,Serbia,BSC Young Boys,CHE 1
Da Silva,Non-Inform,78,57.14,400.0,Defender,CB,France,Stade Rennais,FRA 1
Hernández,Non-Inform,78,100.0,9950.0,Forward,ST,Mexico,West Ham United,ENG 1
Marcelo,Non-Inform,78,82.35,700.0,Defender,CB,Brazil,Olympique Lyonnais,FRA 1
Diop,Non-Inform,78,101.86,713.0,Midfielder,CDM,Senegal,SD Eibar,ESP 1
Bruno,Non-Inform,78,241.21,1990.0,Midfielder,CM,Spain,Villarreal CF,ESP 1
Gervinho,Non-Inform,78,110.71,775.0,Forward,LW,Ivory Coast,Parma,ITA 1
Adrien Silva,Non-Inform,78,213.64,1175.0,Midfielder,CM,Portugal,AS Monaco,FRA 1
Mikel San José,Non-Inform,78,102.43,717.0,Midfielder,CM,Spain,Athletic Club de Bilbao,ESP 1
Tomkins,Non-Inform,78,56.25,450.0,Defender,CB,England,Crystal Palace,ENG 1
Mignolet,Non-Inform,78,53.33,400.0,Goalkeeper,GK,Belgium,Club Brugge,BEL 1
Hilton,Non-Inform,78,63.69,414.0,Defender,CB,Brazil,Montpellier HSC,FRA 1
Stevanović,Inform,78,463.92,45000.0,Midfielder,RM,Bosnia Herzegovina,Servette FC,CHE 1
Verbič,Non-Inform,78,80.0,400.0,Midfielder,LM,Slovenia,Dynamo Kyiv,UKR 1
Unai López,Non-Inform,78,80.08,800.0,Midfielder,CM,Spain,Athletic Club de Bilbao,ESP 1
Ávila,Non-Inform,78,38.46,400.0,Forward,ST,Argentina,CA Osasuna,ESP 1
Belözoğlu,Non-Inform,78,87.5,700.0,Midfielder,CM,Turkey,Fenerbahçe,TUR 1
Petretta,EuropaLeagueMOTM,78,312.37,30300.0,Midfielder,LM,Italy,FC Basel,CHE 1
Bartolomei,Inform,78,485.44,50000.0,Midfielder,CM,Italy,Spezia,ITA 2
Cucurella,Non-Inform,78,54.89,421.0,Midfielder,LM,Spain,Getafe CF,ESP 1
Pinola,Non-Inform,78,911.35,7063.0,Defender,CB,Argentina,Nunez,ARG 1
Sosa,Non-Inform,78,34.52,725.0,Midfielder,CM,Argentina,Trabzonspor,TUR 1
Tévez,Non-Inform,78,1561.11,7025.0,Midfielder,CAM,Argentina,Buenos Aires,ARG 1
Ochoa,Non-Inform,78,88.89,400.0,Goalkeeper,GK,Mexico,América,MEX 1
Raffael,Non-Inform,78,235.29,2000.0,Forward,CF,Brazil,Borussia M.gladbach,GER 1
Andrés Fernández,Non-Inform,78,72.73,400.0,Goalkeeper,GK,Spain,Villarreal CF,ESP 1
Zárate,Non-Inform,78,806.25,6450.0,Forward,ST,Argentina,Buenos Aires,ARG 1
Grenier,Non-Inform,78,74.0,407.0,Midfielder,CM,France,Stade Rennais,FRA 1
Welbeck,Non-Inform,78,80.5,483.0,Forward,ST,England,Watford,ENG 1
Barnes,Non-Inform,78,86.6,433.0,Forward,ST,England,Burnley,ENG 1
Barišic,Inform,78,226.32,38958.0,Defender,LB,Croatia,Rangers,SCO 1
Le Fondre,Inform,78,385.96,37438.0,Forward,ST,England,Sydney FC,AUS 1
Amadou,Non-Inform,78,54.89,404.0,Midfielder,CDM,France,Sevilla FC,ESP 1
Onyekuru,Non-Inform,78,106.69,750.0,Midfielder,LM,Nigeria,Galatasaray,TUR 1
Rhodes,Inform,78,151.72,38500.0,Forward,ST,Scotland,Sheffield Wednesday,ENG 2
Alan Carvalho,Non-Inform,78,97.63,700.0,Forward,ST,Brazil,Guangzhou Evergrande Taobao,CHN 1
Fernández,Inform,78,469.07,45500.0,Forward,ST,Chile,Al Fayha,SAU 1
Wells,Inform,78,313.77,31000.0,Forward,ST,Bermuda,Queens Park Rangers,ENG 2
Burgos,Inform,78,442.06,43167.0,Defender,CB,Argentina,SD Eibar,ESP 1
Rodríguez,Inform,78,301.55,29250.0,Defender,RB,Argentina,Deportes Nunoa,CHL 1
Calleri,Non-Inform,78,253.4,1267.0,Forward,ST,Argentina,RCD Espanyol,ESP 1
Adrien Silva,Non-Inform,78,57.73,433.0,Midfielder,CM,Portugal,Leicester City,ENG 1
Battocchio,Inform,78,546.39,53000.0,Midfielder,CM,Italy,Stade Brestois 29,FRA 1
Zieler,Non-Inform,78,80.0,600.0,Goalkeeper,GK,Germany,Hannover 96,GER 2
Origi,ChampionsLeagueRare,78,20.33,1850.0,Forward,ST,Belgium,Liverpool,ENG 1
Rafael Tolói,Non-Inform,78,89.09,490.0,Defender,CB,Brazil,Atalanta,ITA 1
Kim Shin Wook,Inform,78,656.57,65000.0,Forward,ST,Korea Republic,Shanghai Greenland Shenhua,CHN 1
Soumaoro,ChampionsLeagueRare,78,63.13,5350.0,Defender,CB,France,LOSC Lille,FRA 1
Fortounis,ChampionsLeagueCommon,78,4.94,409.0,Midfielder,CAM,Greece,Olympiacos CFP,GRE 1
Dunkley,Inform,78,386.67,43500.0,Defender,CB,England,Wigan Athletic,ENG 2
Rrahmani,Inform,78,645.0,64500.0,Defender,CB,Kosovo,Hellas Verona,ITA 1
Onyekuru,ChampionsLeagueRare,78,96.88,713.0,Midfielder,LM,Nigeria,Galatasaray,TUR 1
Jaume Costa,Non-Inform,78,14.66,416.0,Defender,LB,Spain,Villarreal CF,ESP 1
Gagliardini,ChampionsLeagueCommon,78,7.88,625.0,Midfielder,CDM,Italy,Inter,ITA 1
Defour,Non-Inform,78,70.38,563.0,Midfielder,CM,Belgium,Antwerp,BEL 1
De Marcos,Non-Inform,78,81.25,1300.0,Defender,RB,Spain,Athletic Club de Bilbao,ESP 1
Lemina,Non-Inform,78,67.5,675.0,Midfielder,CM,Gabon,Galatasaray,TUR 1
Son Jun Ho,Hero,78,281.61,40833.0,Midfielder,CM,Korea Republic,Jeonbuk Hyundai Motors,KOR 1
Koita,Inform,78,510.31,49500.0,Forward,ST,Guinea,Kasımpaşa,TUR 1
Cáceres,Non-Inform,78,100.71,705.0,Defender,CB,Uruguay,Fiorentina,ITA 1
Campaña,Non-Inform,78,168.42,800.0,Goalkeeper,GK,Uruguay,Independiente,ARG 1
Gregoritsch,Non-Inform,78,110.16,900.0,Midfielder,CAM,Austria,FC Schalke 04,GER 1
Piatti,Non-Inform,78,47.73,400.0,Midfielder,LM,Argentina,Toronto FC,USA 1
García,Non-Inform,78,81.2,406.0,Forward,ST,Uruguay,Godoy Cruz,ARG 1
Meïté,Non-Inform,78,113.76,967.0,Midfielder,CM,France,Torino,ITA 1
Denis Suárez,Non-Inform,78,66.24,414.0,Midfielder,CM,Spain,RC Celta de Vigo,ESP 1
Rekik,Non-Inform,78,63.86,463.0,Defender,CB,Netherlands,Hertha BSC,GER 1
Boëtius,Non-Inform,78,103.57,725.0,Midfielder,CAM,Netherlands,1. FSV Mainz 05,GER 1
Donatti,Non-Inform,78,87.5,700.0,Defender,CB,Argentina,Racing Club de Avellaneda,ARG 1
Musso,Non-Inform,78,62.29,436.0,Goalkeeper,GK,Argentina,Udinese,ITA 1
Djaniny,Non-Inform,78,102.43,717.0,Forward,ST,Cape Verde Islands,Al Ahli,SAU 1
Izquierdoz,Non-Inform,78,162.16,1500.0,Defender,CB,Argentina,Buenos Aires,ARG 1
Cano,Non-Inform,78,1271.43,8900.0,Forward,ST,Argentina,Independiente Medellín,COL 1
Miranchuk,Non-Inform,78,55.17,400.0,Midfielder,CAM,Russia,Lokomotiv Moskva,RUS 1
Fabra,Non-Inform,78,479.17,5750.0,Defender,LB,Colombia,Buenos Aires,ARG 1
Weimann,TOTWMoments,78,515.46,50000.0,Forward,ST,Austria,Bristol City,ENG 2
Lascelles,Non-Inform,78,74.24,464.0,Defender,CB,England,Newcastle United,ENG 1
Cabot,TOTWMoments,78,496.57,48167.0,Midfielder,RM,France,FC Lorient,FRA 2
Nielsen,MOTM,78,231.13,22833.0,Forward,ST,Norway,SpVgg Greuther Fürth,GER 2
Osmar,MOTM,78,300.69,29167.0,Midfielder,CDM,Spain,FC Seoul,KOR 1
Daka,MOTM,78,283.18,27500.0,Forward,ST,Zambia,Red Bull Salzburg,AUT 1
Mainka,MOTM,78,235.82,22875.0,Defender,CB,Germany,1. FC Heidenheim,GER 2
Maripán,Non-Inform,78,109.57,767.0,Defender,CB,Chile,AS Monaco,FRA 1
Kim In Seong,Inform,78,445.88,43250.0,Midfielder,LM,Korea Republic,Ulsan Hyundai,KOR 1
Selikhov,Non-Inform,78,88.89,400.0,Goalkeeper,GK,Russia,Spartak Moskva,RUS 1
Pulgar,Non-Inform,78,33.71,413.0,Midfielder,CDM,Chile,Fiorentina,ITA 1
Tait,Non-Inform,78,38.1,400.0,Midfielder,LM,France,Stade Rennais,FRA 1
Laxalt,Non-Inform,78,4.83,483.0,Midfielder,LM,Uruguay,Milan,ITA 1
Kanga,Non-Inform,78,125.41,533.0,Midfielder,CAM,Gabon,Sparta Praha,CSK 1
Yokuşlu,Non-Inform,78,102.86,720.0,Midfielder,CDM,Turkey,RC Celta de Vigo,ESP 1
Fischer,Non-Inform,78,61.54,400.0,Midfielder,LM,Denmark,FC København,DEN 1
Fernández,Non-Inform,78,80.0,400.0,Midfielder,CM,Argentina,Nunez,ARG 1
Fernando,Non-Inform,78,621.85,2817.0,Midfielder,CDM,Brazil,Spartak Moskva,RUS 1
Tousart,Non-Inform,78,278.73,1533.0,Midfielder,CDM,France,Olympique Lyonnais,FRA 1
Babel,ChampionsLeagueRare,78,110.52,893.0,Forward,LW,Netherlands,Ajax,NED 1
Bakaev,Inform,78,569.73,55292.0,Midfielder,CAM,Russia,Spartak Moskva,RUS 1
Torregrossa,Inform,78,532.99,52500.0,Forward,ST,Italy,Brescia,ITA 1
Moses,ChampionsLeagueRare,78,70.28,700.0,Midfielder,RM,Nigeria,Inter,ITA 1
Demme,Non-Inform,78,23.76,558.0,Midfielder,CDM,Germany,Napoli,ITA 1
Hernández,Non-Inform,78,40.49,400.0,Forward,ST,Mexico,Los Angeles Galaxy,USA 1
Babel,Non-Inform,78,123.1,1071.0,Forward,LW,Netherlands,Ajax,NED 1
Moses,Non-Inform,78,70.07,700.0,Midfielder,RM,Nigeria,Inter,ITA 1
Demme,ChampionsLeagueCommon,78,26.53,569.0,Midfielder,CDM,Germany,Napoli,ITA 1
Donatti,Non-Inform,78,62.41,450.0,Defender,CB,Argentina,San Lorenzo de Almagro,ARG 1
Hernández,Non-Inform,78,1780.89,8014.0,Forward,ST,Mexico,Sevilla FC,ESP 1
Fortounis,Non-Inform,78,88.89,400.0,Midfielder,CAM,Greece,Olympiacos CFP,GRE 1
Zaracho,Non-Inform,78,387.5,3100.0,Midfielder,CAM,Argentina,Racing Club de Avellaneda,ARG 1
Mateta,Non-Inform,78,104.29,730.0,Forward,ST,France,1. FSV Mainz 05,GER 1
Ngadeu,Non-Inform,78,100.0,700.0,Defender,CB,Cameroon,AA Gent,BEL 1
Aarón Martín,Non-Inform,78,31.67,475.0,Defender,LB,Spain,1. FSV Mainz 05,GER 1
Neuhaus,Non-Inform,78,60.0,450.0,Midfielder,CM,Germany,Borussia M.gladbach,GER 1
Ünder,Non-Inform,78,44.44,400.0,Forward,RW,Turkey,Roma,ITA 1
Sarr,Non-Inform,78,74.19,1150.0,Midfielder,RM,Senegal,Watford,ENG 1
Rice,Non-Inform,78,97.6,488.0,Midfielder,CDM,England,West Ham United,ENG 1
Ikoné,Non-Inform,78,110.71,775.0,Midfielder,CAM,France,LOSC Lille,FRA 1
Bruno Viana,Non-Inform,78,59.0,413.0,Defender,CB,Brazil,Braga,POR 1
Onyekuru,Non-Inform,78,90.32,700.0,Midfielder,LM,Nigeria,AS Monaco,FRA 1
Ayoze Pérez,Non-Inform,78,82.0,410.0,Forward,CF,Spain,Leicester City,ENG 1
Uth,Non-Inform,78,166.67,950.0,Forward,ST,Germany,1. FC Köln,GER 1
Mitrović,Non-Inform,78,13.79,400.0,Forward,ST,Serbia,Fulham,ENG 2
Sakai,Non-Inform,78,57.14,400.0,Defender,RB,Japan,Olympique de Marseille,FRA 1
Feddal,Non-Inform,78,425.0,2975.0,Defender,CB,Morocco,Real Betis Balompié,ESP 1
Pavoletti,Non-Inform,78,80.0,400.0,Forward,ST,Italy,Cagliari,ITA 1
Gagliardini,Non-Inform,78,20.92,408.0,Midfielder,CDM,Italy,Inter,ITA 1
Olsen,Non-Inform,78,115.3,663.0,Goalkeeper,GK,Sweden,Cagliari,ITA 1
Meyer,Non-Inform,78,82.35,700.0,Midfielder,CM,Germany,Crystal Palace,ENG 1
Saravia,Non-Inform,78,1000.0,25000.0,Defender,RB,Argentina,FC Porto,POR 1
Laborde,Non-Inform,78,85.0,425.0,Forward,ST,France,Montpellier HSC,FRA 1
Pizarro,Non-Inform,78,91.62,733.0,Midfielder,CDM,Argentina,Tigres U.A.N.L.,MEX 1
de Roon,Non-Inform,78,100.0,700.0,Midfielder,CM,Netherlands,Atalanta,ITA 1
Traoré,Non-Inform,78,102.43,717.0,Forward,RW,Burkina Faso,Olympique Lyonnais,FRA 1
Cristante,Non-Inform,78,50.0,400.0,Midfielder,CM,Italy,Roma,ITA 1
Hérelle,Non-Inform,78,75.0,525.0,Defender,CB,France,OGC Nice,FRA 1
Óliver Torres,Non-Inform,78,81.22,467.0,Midfielder,CM,Spain,Sevilla FC,ESP 1
Grifo,Non-Inform,78,58.82,500.0,Midfielder,LM,Italy,SC Freiburg,GER 1
Omar Mascarell,Non-Inform,78,78.73,433.0,Midfielder,CDM,Spain,FC Schalke 04,GER 1
Mollet,Non-Inform,78,66.67,400.0,Midfielder,CAM,France,Montpellier HSC,FRA 1
Hofmann,Non-Inform,78,61.87,464.0,Midfielder,CAM,Germany,Borussia M.gladbach,GER 1
Carrillo,Non-Inform,78,84.21,400.0,Midfielder,RM,Peru,Al Hilal,SAU 1
Dumfries,Non-Inform,78,84.44,760.0,Defender,RB,Netherlands,PSV,NED 1
Yazıcı,Non-Inform,78,76.19,400.0,Midfielder,CAM,Turkey,LOSC Lille,FRA 1
Dzhikiya,Non-Inform,78,100.0,700.0,Defender,CB,Russia,Spartak Moskva,RUS 1
Martínez,Non-Inform,78,95.6,717.0,Midfielder,CAM,Argentina,Atlanta United FC,USA 1
Zakaria,Non-Inform,78,440.91,4850.0,Midfielder,CM,Switzerland,Borussia M.gladbach,GER 1
Daniel Podence,Non-Inform,78,195.29,1367.0,Midfielder,LM,Portugal,Olympiacos CFP,GRE 1
Domínguez,Non-Inform,78,100.0,400.0,Midfielder,CDM,Argentina,Racing Club de Avellaneda,ARG 1
Deli,Non-Inform,78,93.33,700.0,Defender,CB,Ivory Coast,Club Brugge,BEL 1
Berardi,Non-Inform,78,42.11,400.0,Forward,RW,Italy,Sassuolo,ITA 1
Diop,Non-Inform,78,80.15,521.0,Defender,CB,France,West Ham United,ENG 1
Amadou,Non-Inform,78,1606.0,8833.0,Midfielder,CDM,France,Norwich City,ENG 1
Mina,Non-Inform,78,35.29,450.0,Defender,CB,Colombia,Everton,ENG 1
Dahoud,Non-Inform,78,52.94,450.0,Midfielder,CM,Germany,Borussia Dortmund,GER 1
Seri,Non-Inform,78,235.71,1650.0,Midfielder,CM,Ivory Coast,Galatasaray,TUR 1
Capa,Non-Inform,78,128.3,1283.0,Defender,RB,Spain,Athletic Club de Bilbao,ESP 1
Bastos,Non-Inform,78,100.0,700.0,Defender,CB,Angola,Lazio,ITA 1
Marcelo Goiano,Non-Inform,78,40.0,400.0,Defender,RB,Brazil,Sivasspor,TUR 1
Hateboer,Non-Inform,78,82.35,700.0,Midfielder,RM,Netherlands,Atalanta,ITA 1
Santamaria,Non-Inform,78,72.73,400.0,Midfielder,CDM,France,Angers SCO,FRA 1
Battaglia,Non-Inform,78,53.33,720.0,Midfielder,CM,Argentina,Sporting CP,POR 1
Diagne,Non-Inform,78,170.07,1233.0,Forward,ST,Senegal,Club Brugge,BEL 1
Ødegaard,Non-Inform,78,763.89,6875.0,Forward,RW,Norway,Real Sociedad,ESP 1
Elvedi,Non-Inform,78,84.91,467.0,Defender,CB,Switzerland,Borussia M.gladbach,GER 1
Arias,Non-Inform,78,181.25,725.0,Goalkeeper,GK,Chile,Racing Club de Avellaneda,ARG 1
Andersen,Non-Inform,78,57.14,400.0,Defender,CB,Denmark,Olympique Lyonnais,FRA 1
Origi,Non-Inform,78,58.33,700.0,Forward,ST,Belgium,Liverpool,ENG 1
De Paul,Non-Inform,78,72.52,417.0,Forward,CF,Argentina,Udinese,ITA 1
Dendoncker,Non-Inform,78,135.71,950.0,Midfielder,CM,Belgium,Wolverhampton Wanderers,ENG 1
José Sá,Non-Inform,78,31.85,414.0,Goalkeeper,GK,Portugal,Olympiacos CFP,GRE 1
Joan Jordán,Non-Inform,78,70.83,425.0,Midfielder,CM,Spain,Sevilla FC,ESP 1
Selke,Non-Inform,78,107.14,750.0,Forward,ST,Germany,Hertha BSC,GER 1
Bruma,Non-Inform,78,73.68,700.0,Forward,LW,Portugal,PSV,NED 1
Lemina,Non-Inform,78,100.0,11000.0,Midfielder,CM,Gabon,Southampton,ENG 1
Maksimović,Non-Inform,78,81.82,450.0,Defender,CB,Serbia,Napoli,ITA 1
Bamba,Non-Inform,78,81.76,838.0,Midfielder,LM,France,LOSC Lille,FRA 1
Joelinton,Non-Inform,78,77.27,425.0,Forward,ST,Brazil,Newcastle United,ENG 1
Al Soma,Non-Inform,78,100.0,400.0,Forward,ST,Syria,Al Ahli,SAU 1
Bounou,Non-Inform,77,108.0,621.0,Goalkeeper,GK,Morocco,Sevilla FC,ESP 1
Hrošovský,ChampionsLeagueCommon,77,6.14,520.0,Midfielder,CM,Slovakia,RC Genk,BEL 1
Bittencourt,Non-Inform,77,100.0,10000.0,Midfielder,CAM,Germany,TSG 1899 Hoffenheim,GER 1
Martin,Non-Inform,77,80.0,400.0,Midfielder,CM,France,Stade Rennais,FRA 1
Barák,Non-Inform,77,788.86,5522.0,Midfielder,CM,Czech Republic,Udinese,ITA 1
Mæhle,Non-Inform,77,83.3,833.0,Defender,RB,Denmark,RC Genk,BEL 1
Rojas,Non-Inform,77,620.0,4340.0,Midfielder,CM,Paraguay,Racing Club de Avellaneda,ARG 1
Mazraoui,Non-Inform,77,80.31,783.0,Defender,RB,Morocco,Ajax,NED 1
Bustos,Non-Inform,77,2631.58,25000.0,Defender,RB,Argentina,Independiente,ARG 1
Luiz Felipe,Non-Inform,77,101.07,758.0,Defender,CB,Brazil,Lazio,ITA 1
Rosario,Non-Inform,77,80.0,400.0,Midfielder,CDM,Netherlands,PSV,NED 1
Marin,Non-Inform,77,47.06,400.0,Midfielder,CM,Romania,Ajax,NED 1
Brais Méndez,Non-Inform,77,67.83,407.0,Midfielder,RM,Spain,RC Celta de Vigo,ESP 1
Sergi Guardiola,Non-Inform,77,89.52,470.0,Forward,ST,Spain,Real Valladolid,ESP 1
Calabria,Non-Inform,77,42.11,400.0,Defender,RB,Italy,Milan,ITA 1
Mendy,Non-Inform,77,100.0,700.0,Goalkeeper,GK,Senegal,Stade Rennais,FRA 1
Reguilón,Non-Inform,77,190.48,2000.0,Defender,LB,Spain,Sevilla FC,ESP 1
Vargas,Non-Inform,77,100.0,700.0,Forward,LW,Argentina,RCD Espanyol,ESP 1
Elneny,Non-Inform,77,104.44,470.0,Midfielder,CDM,Egypt,Besiktas,TUR 1
Dragović,ChampionsLeagueCommon,77,5.93,510.0,Defender,CB,Austria,Bayer 04 Leverkusen,GER 1
Hrošovský,Non-Inform,77,88.89,400.0,Midfielder,CM,Slovakia,RC Genk,BEL 1
Miranchuk,ChampionsLeagueCommon,77,4.89,411.0,Midfielder,CAM,Russia,Lokomotiv Moskva,RUS 1
Upamecano,Non-Inform,77,96.88,775.0,Defender,CB,France,RB Leipzig,GER 1
Esser,Non-Inform,77,237.14,1660.0,Goalkeeper,GK,Germany,Hannover 96,GER 2
Palomino,ChampionsLeagueCommon,77,5.02,450.0,Defender,CB,Argentina,Atalanta,ITA 1
Mukiele,ChampionsLeagueRare,77,10.24,894.0,Defender,CB,France,RB Leipzig,GER 1
Upamecano,ChampionsLeagueRare,77,13.12,1163.0,Defender,CB,France,RB Leipzig,GER 1
Pašalic,ChampionsLeagueCommon,77,5.13,433.0,Midfielder,CM,Croatia,Atalanta,ITA 1
Tete,ChampionsLeagueCommon,77,7.72,633.0,Defender,RB,Netherlands,Olympique Lyonnais,FRA 1
Piccini,ChampionsLeagueCommon,77,7.4,625.0,Defender,RB,Italy,Valencia CF,ESP 1
Cláudio Ramos,Non-Inform,77,90.91,500.0,Goalkeeper,GK,Portugal,Tondela,POR 1
Sidibé,Non-Inform,77,72.22,650.0,Defender,RB,France,Everton,ENG 1
Huntelaar,ChampionsLeagueCommon,77,5.06,420.0,Forward,ST,Netherlands,Ajax,NED 1
Chiquinho,Non-Inform,77,76.19,400.0,Midfielder,CAM,Portugal,SL Benfica,POR 1
Luyindama,ChampionsLeagueRare,77,7.98,700.0,Defender,CB,DR Congo,Galatasaray,TUR 1
Mazraoui,ChampionsLeagueRare,77,9.96,833.0,Defender,RB,Morocco,Ajax,NED 1
Wendell,ChampionsLeagueRare,77,20.37,1650.0,Defender,LB,Brazil,Bayer 04 Leverkusen,GER 1
Kurzawa,ChampionsLeagueCommon,77,7.83,600.0,Defender,LB,France,Paris Saint-Germain,FRA 1
Weiser,ChampionsLeagueRare,77,18.39,1517.0,Defender,RB,Germany,Bayer 04 Leverkusen,GER 1
Vlašić,Non-Inform,77,88.89,400.0,Midfielder,CAM,Croatia,CSKA Moskva,RUS 1
Renan Lodi,Non-Inform,77,103.3,1033.0,Defender,LB,Brazil,Atlético de Madrid,ESP 1
Rémy,ChampionsLeagueCommon,77,39.67,3233.0,Forward,ST,France,LOSC Lille,FRA 1
Nkunku,ChampionsLeagueCommon,77,6.57,550.0,Midfielder,CM,France,RB Leipzig,GER 1
